,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,PHP
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,.github,
31,ads-advanced-tools-docs,Jupyter Notebook
32,ads-pao-amznjs-gtm-server-side-template,Smarty
33,ads-pao-amznjs-gtm-template,Smarty
34,alexa-coho,JavaScript
35,alexa-skills-kit-js,
36,amazon-ads-advertiser-audience-normalization-sdk-py,Python
37,amazon-advertising-api-php-sdk,PHP
38,amazon-codeguru-profiler-for-spark,Java
39,amazon-frustration-free-setup-certification-tool,Python
40,amazon-hub-counter-api-docs,CSS
41,amazon-hub-counter-api-samples,Java
42,amazon-hub-counter-sdk-java,Java
43,amazon-hub-support,PowerShell
44,amazon-instant-access-sdk-java,Java
45,amazon-instant-access-sdk-net,C#
46,amazon-instant-access-sdk-php,PHP
47,amazon-instant-access-sdk-ruby,Ruby
48,amazon-launcher-integration-cordova-plugin,JavaScript
49,amazon-marketing-stream-examples,Python
50,amazon-mcf-plugin-for-magento-1,PHP
51,amazon-multi-token-completion,Python
52,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
53,amazon-pay-api-sdk-dotnet,C#
54,amazon-pay-api-sdk-java,Java
55,amazon-pay-api-sdk-nodejs,JavaScript
56,amazon-pay-api-sdk-php,PHP
57,amazon-pay-api-sdk-ruby,Ruby
58,amazon-pay-code-samples,PHP
59,amazon-pay-sdk-csharp,C#
60,amazon-pay-sdk-java,Java
61,amazon-pay-sdk-php,PHP
62,amazon-pay-sdk-python,Python
63,amazon-pay-sdk-ruby,Ruby
64,amazon-payment-files-tools,Kotlin
65,amazon-payments-magento-2-plugin,PHP
66,amazon-ray,Python
67,amazon-s3-gst-plugin,C
68,amazon-sidewalk-android-samples,
69,amazon-sidewalk-ios-samples,Swift
70,amazon-succinct-doc-representation,Python
71,amazon-template-library,C++
72,amazon-weak-ner-needle,Python
73,amigitenough,Go
74,amzn-drivers,C
75,amzn-ec2-ena-utilities,Python
76,app-platform,Kotlin
77,armbench,Python
78,augment-the-pairs-wacv2024,Python
79,autotrail,Python
80,aws-apigateway-client-lib,
81,aws-sigv4-signing-samples,Java
82,awsssmchaosrunner,Kotlin
83,basis-point-sets,Python
84,BayesPE,Python
85,buy-with-prime-cdk-constructs,TypeScript
86,buy-with-prime-monitoring-sample-cdk,TypeScript
87,chalet-charging-location-for-electric-trucks,Python
88,computer-vision-basics-in-microsoft-excel,
89,confident-sinkhorn-allocation,Jupyter Notebook
90,amazon-pay-sdk-java,Java
91,amazon-pay-sdk-php,PHP
92,amazon-pay-sdk-python,Python
93,amazon-pay-sdk-ruby,Ruby
94,amazon-payment-files-tools,Kotlin
95,amazon-payments-magento-2-plugin,PHP
96,amazon-ray,Python
97,amazon-s3-gst-plugin,C
98,amazon-sidewalk-android-samples,
99,amazon-sidewalk-ios-samples,Swift
100,amazon-succinct-doc-representation,Python
101,amazon-template-library,C++
102,amazon-weak-ner-needle,Python
103,amigitenough,Go
104,amzn-drivers,C
105,amzn-ec2-ena-utilities,Python
106,app-platform,Kotlin
107,armbench,Python
108,augment-the-pairs-wacv2024,Python
109,autotrail,Python
110,aws-apigateway-client-lib,
111,aws-sigv4-signing-samples,Java
112,awsssmchaosrunner,Kotlin
113,basis-point-sets,Python
114,BayesPE,Python
115,buy-with-prime-cdk-constructs,TypeScript
116,buy-with-prime-monitoring-sample-cdk,TypeScript
117,chalet-charging-location-for-electric-trucks,Python
118,computer-vision-basics-in-microsoft-excel,
119,confident-sinkhorn-allocation,Jupyter Notebook
120,convolutional-handwriting-gan,Python
121,cosearcher,Python
122,credence-to-causal-estimation,Python
123,data-jack-knife,Java
124,debiased-balanced-interleaving,Jupyter Notebook
125,differential-privacy-bayesian-optimization,Python
126,distance-assistant,Python
127,drs-sample-android-app,Java
128,drs-sample-ios-app,Objective-C
129,emukit-playground,JavaScript
130,eslint-plugin-no-date-parsing,TypeScript
131,exoplayer-amazon-port,Java
132,explainable-text-vqa,
133,extremely-efficient-query-encoder,Python
134,faithful-data2text-cycle-training,Python
135,fashion-attribute-disentanglement,Python
136,fire-app-builder,Java
137,firetv-sample-touch-app,Java
138,ftv-integration-sdk-sample-app,Kotlin
139,ftv-livetv-sample-tv-app,Java
