,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,.github,
31,app-store-server-library-java,Java
32,app-store-server-library-node,TypeScript
33,app-store-server-library-python,Python
34,app-store-server-library-swift,Swift
35,apple-llvm-infrastructure-tools,C++
36,apple_rules_lint,Starlark
37,ARKitScenes,Python
38,AudioUnit-Examples,Swift
39,AudioUnitSDK,C++
40,axlearn,Python
41,batch-processing-gateway,Java
42,ccs-caldavclientlibrary,HTML
43,ccs-caldavtester,Python
44,ccs-calendarserver,Python
45,ccs-pycalendar,Python
46,ccs-pykerberos,C
47,ccs-pyopendirectory,C++
48,ccs-pyosxframeworks,Python
49,ccs-pysecuretransport,Python
50,ccs-twistedextensions,Python
51,container,Swift
52,container-builder-shim,Go
53,containerization,Swift
54,coremltools,Python
55,corenet,Jupyter Notebook
56,cups,C
57,darwin-libplatform,C
58,darwin-libpthread,C
59,darwin-xnu,C
60,device-management,
61,dmel,Python
62,dmel-demo,HTML
63,dnikit,Python
64,eidas,Go
65,embedding-atlas,TypeScript
66,example-package-fisheryates,Swift
67,FHIRModels,Swift
68,foundationdb,C++
69,fstools,C
70,game-center-tools,Python
71,GCGC,Jupyter Notebook
72,homebrew-apple,Ruby
73,HomeKitADK,C
74,learning-compressible-subspaces,Python
75,learning-subspaces,Python
76,llvm-monorepo-root,
77,llvm-project-v5,C++
78,llvm-project-v5-split,C++
79,ml-4m,Python
80,ml-acn-embed,Python
81,ml-act,Python
82,ml-ademamix,Python
83,ml-afv,Python
84,ml-agm,Python
85,ml-aim,Python
86,ml-all-pairs,Python
87,ml-ane-transformers,Python
88,ml-aspanformer,Python
89,ml-aura,Python
90,device-management,
91,dmel,Python
92,dmel-demo,HTML
93,dnikit,Python
94,eidas,Go
95,embedding-atlas,TypeScript
96,example-package-fisheryates,Swift
97,FHIRModels,Swift
98,foundationdb,C++
99,fstools,C
100,game-center-tools,Python
101,GCGC,Jupyter Notebook
102,homebrew-apple,Ruby
103,HomeKitADK,C
104,learning-compressible-subspaces,Python
105,learning-subspaces,Python
106,llvm-monorepo-root,
107,llvm-project-v5,C++
108,llvm-project-v5-split,C++
109,ml-4m,Python
110,ml-acn-embed,Python
111,ml-act,Python
112,ml-ademamix,Python
113,ml-afv,Python
114,ml-agm,Python
115,ml-aim,Python
116,ml-all-pairs,Python
117,ml-ane-transformers,Python
118,ml-aspanformer,Python
119,ml-aura,Python
120,ml-autofocusformer,Python
121,ml-autofocusformer-segmentation,Python
122,ml-batchquant,Python
123,ml-behavioral-testing-for-mt,
124,ml-bilevel-train-dist,Python
125,ml-bloop,Python
126,ml-calibration,Jupyter Notebook
127,ml-capsules-inverted-attention-routing,Python
128,ml-cifar-10-faster,Python
129,ml-code-switched-speech-translation,Python
130,ml-codeswitching-translations,
131,ml-collegial-ensembles,Python
132,ml-comotion,Python
133,ml-compress-and-compare,Python
134,ml-core,Python
135,ml-covid-mobility,R
136,ml-cread,Python
137,ml-cross-entropy,Python
138,ml-cubifyanything,Python
139,ml-cvnets,Python
140,ml-cvpr2019-swd,Python
141,ml-dab,Python
142,ml-data-parameters,Python
143,ml-dataset-decomposition,Python
144,ml-delphi,
145,ml-depth-pro,Python
146,ml-destseg,Python
147,ml-diffusion-alignment-gflownet,Python
148,ml-direct2.5,Python
149,ml-divide-or-conquer,Python
150,ml-autofocusformer,Python
151,ml-autofocusformer-segmentation,Python
152,ml-batchquant,Python
153,ml-behavioral-testing-for-mt,
154,ml-bilevel-train-dist,Python
155,ml-bloop,Python
156,ml-calibration,Jupyter Notebook
157,ml-capsules-inverted-attention-routing,Python
158,ml-cifar-10-faster,Python
159,ml-code-switched-speech-translation,Python
160,ml-codeswitching-translations,
161,ml-collegial-ensembles,Python
162,ml-comotion,Python
163,ml-compress-and-compare,Python
164,ml-core,Python
165,ml-covid-mobility,R
166,ml-cread,Python
167,ml-cross-entropy,Python
168,ml-cubifyanything,Python
169,ml-cvnets,Python
170,ml-cvpr2019-swd,Python
171,ml-dab,Python
172,ml-data-parameters,Python
173,ml-dataset-decomposition,Python
174,ml-delphi,
175,ml-depth-pro,Python
176,ml-destseg,Python
177,ml-diffusion-alignment-gflownet,Python
178,ml-direct2.5,Python
179,ml-divide-or-conquer,Python
180,ml-dms-dataset,Python
181,ml-dprecs,Jupyter Notebook
182,ml-dr,Python
183,ml-duet,Python
184,ml-entity-deduction-arena,Python
185,ml-entropy-reconstruction,Python
186,ml-envmapnet,Python
187,ml-equivariant-neural-rendering,Jupyter Notebook
188,ml-facelit,Python
189,ml-famae,Python
190,ml-fastvit,Python
