,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asf-rez-fork,Python
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,bpftop,C
20,brutal,Python
21,cachemover,C++
22,CassJMeter,Java
23,chaosmonkey,Go
24,Cloud-Prize,
25,clove,Python
26,codec_compare,Python
27,concurrency-limits,Java
28,conductor,Java
29,conductor-community,Java
30,.github,
31,aegisthus,Java
32,af_tsa,C
33,aminator,Python
34,archaius,Java
35,asf-rez-fork,Python
36,asgard,Groovy
37,astyanax,Java
38,atlas,Scala
39,atlas-docs,Python
40,aws-autoscaling,Shell
41,awsobjectmapper,Groovy
42,batch_request_api,Ruby
43,batch_request_client,Ruby
44,bbparse,C
45,bettertls,Go
46,blesk,JavaScript
47,bless,Python
48,blitz4j,Java
49,bpftop,C
50,brutal,Python
51,cachemover,C++
52,CassJMeter,Java
53,chaosmonkey,Go
54,Cloud-Prize,
55,clove,Python
56,codec_compare,Python
57,concurrency-limits,Java
58,conductor,Java
59,conductor-community,Java
60,conductor-docs,Python
61,conductor-ui,JavaScript
62,consoleme,Python
63,curator,Java
64,denominator,Java
65,derand,Java
66,dgs,HTML
67,dgs-codegen,Kotlin
68,dgs-examples-java,Java
69,dgs-examples-java-2.7,Java
70,dgs-examples-java.latest,Java
71,dgs-examples-java16,Java
72,dgs-examples-kotlin,Kotlin
73,dgs-examples-kotlin-2.7,Kotlin
74,dgs-examples-webflux,Java
75,dgs-federation-example,Kotlin
76,dgs-framework,Kotlin
77,dgs-intellij-plugin,Kotlin
78,dial-reference,C
79,dispatch,Python
80,dispatch-docker,Shell
81,dyno,Java
82,dyno-queues,Java
83,dynomite,C
84,dynomite-manager,Java
85,e2nest,Python
86,eclipse-jifa,Java
87,eclipse-mat,
88,edda,Scala
89,edda-client,Java
90,conductor-docs,Python
91,conductor-ui,JavaScript
92,consoleme,Python
93,curator,Java
94,denominator,Java
95,derand,Java
96,dgs,HTML
97,dgs-codegen,Kotlin
98,dgs-examples-java,Java
99,dgs-examples-java-2.7,Java
100,dgs-examples-java.latest,Java
101,dgs-examples-java16,Java
102,dgs-examples-kotlin,Kotlin
103,dgs-examples-kotlin-2.7,Kotlin
104,dgs-examples-webflux,Java
105,dgs-federation-example,Kotlin
106,dgs-framework,Kotlin
107,dgs-intellij-plugin,Kotlin
108,dial-reference,C
109,dispatch,Python
110,dispatch-docker,Shell
111,dyno,Java
112,dyno-queues,Java
113,dynomite,C
114,dynomite-manager,Java
115,e2nest,Python
116,eclipse-jifa,Java
117,eclipse-mat,
118,edda,Scala
119,edda-client,Java
120,element-server,JavaScript
121,ember-batch-request,JavaScript
122,ember-nf-graph,JavaScript
123,ember-nf-graph-examples,JavaScript
124,eslint-config-netflix,Shell
125,eslint-plugin-x-element,JavaScript
126,eureka,Java
127,eureka-ui,JavaScript
128,EVCache,Java
129,fabricator,Java
130,falcor,JavaScript
131,falcor-datasource-chainer,JavaScript
132,falcor-express,JavaScript
133,falcor-express-demo,HTML
134,falcor-hapi,JavaScript
135,falcor-hapi-demo,HTML
136,falcor-http-datasource,JavaScript
137,falcor-json-graph,JavaScript
138,falcor-observable,JavaScript
139,falcor-path-syntax,JavaScript
140,falcor-path-utils,JavaScript
141,falcor-restify,JavaScript
142,falcor-restify-demo,HTML
143,falcor-router,JavaScript
144,falcor-router-demo,JavaScript
145,fast_jsonapi,Ruby
146,Fenzo,Java
147,Fido,C#
148,flamescope,Python
149,frigga,Java
150,element-server,JavaScript
151,ember-batch-request,JavaScript
152,ember-nf-graph,JavaScript
153,ember-nf-graph-examples,JavaScript
154,eslint-config-netflix,Shell
155,eslint-plugin-x-element,JavaScript
156,eureka,Java
157,eureka-ui,JavaScript
158,EVCache,Java
159,fabricator,Java
160,falcor,JavaScript
161,falcor-datasource-chainer,JavaScript
162,falcor-express,JavaScript
163,falcor-express-demo,HTML
164,falcor-hapi,JavaScript
165,falcor-hapi-demo,HTML
166,falcor-http-datasource,JavaScript
167,falcor-json-graph,JavaScript
168,falcor-observable,JavaScript
169,falcor-path-syntax,JavaScript
170,falcor-path-utils,JavaScript
171,falcor-restify,JavaScript
172,falcor-restify-demo,HTML
173,falcor-router,JavaScript
174,falcor-router-demo,JavaScript
175,fast_jsonapi,Ruby
176,Fenzo,Java
177,Fido,C#
178,flamescope,Python
179,frigga,Java
180,genie,Java
181,glisten,Groovy
182,go-env,Go
183,go-expect,Go
184,go-iomux,Go
185,governator,Java
186,gradle-template,Java
187,hal-9001,Go
188,hollow,Java
189,hollow-reference-implementation,Java
190,hubcommander,Python
191,Hystrix,Java
192,iceberg,Java
193,iceberg-python,Python
194,iep,Java
195,iep-shadow,
196,image_compression_comparison,Python
197,inviso,JavaScript
198,karyon,Java
199,lemur,Python
200,lemur-docker,Python
201,libamicontained,Rust
202,Lipstick,JavaScript
203,maestro,Java
204,mantis,Java
205,mantis-api,Java
206,mantis-cli,JavaScript
207,mantis-connectors,Java
208,mantis-control-plane,Java
209,mantis-examples,Java
210,genie,Java
211,glisten,Groovy
212,go-env,Go
213,go-expect,Go
214,go-iomux,Go
215,governator,Java
216,gradle-template,Java
217,hal-9001,Go
218,hollow,Java
219,hollow-reference-implementation,Java
220,hubcommander,Python
221,Hystrix,Java
222,iceberg,Java
223,iceberg-python,Python
224,iep,Java
225,iep-shadow,
226,image_compression_comparison,Python
227,inviso,JavaScript
228,karyon,Java
229,lemur,Python
230,lemur-docker,Python
231,libamicontained,Rust
232,Lipstick,JavaScript
233,maestro,Java
234,mantis,Java
235,mantis-api,Java
236,mantis-cli,JavaScript
237,mantis-connectors,Java
238,mantis-control-plane,Java
239,mantis-examples,Java
240,mantis-gradle-plugin,Groovy
241,mantis-helm,Smarty
242,mantis-mql,Clojure
243,mantis-rxcontrol,Java
244,mantis-rxnetty,
245,mantis-source-jobs,Java
246,mantis-ui,TypeScript
247,matchcut,Jupyter Notebook
248,metacat,Java
249,metaflow,Python
250,metaflow-docs,JavaScript
251,metaflow-extensions-template,Python
252,metaflow-nflx-extensions,Python
253,metaflow-service,Python
254,metaflow-tools,HCL
255,metaflow-ui,TypeScript
256,metrics-client-go,Go
257,msl,C++
258,ndbench,HTML
259,nerror,JavaScript
260,netflix-commons,Java
261,netflix-graph,Java
262,netflix.github.com,HTML
263,netflixoss-npm-build-infrastructure,
264,nf-data-explorer,TypeScript
265,nflx-geofeed,
266,nflxprofile,Python
267,NfWebCrypto,C++
268,Nicobar,Java
269,ocelli,Java
270,mantis-gradle-plugin,Groovy
271,mantis-helm,Smarty
272,mantis-mql,Clojure
273,mantis-rxcontrol,Java
274,mantis-rxnetty,
275,mantis-source-jobs,Java
276,mantis-ui,TypeScript
277,matchcut,Jupyter Notebook
278,metacat,Java
279,metaflow,Python
280,metaflow-docs,JavaScript
281,metaflow-extensions-template,Python
282,metaflow-nflx-extensions,Python
283,metaflow-service,Python
284,metaflow-tools,HCL
285,metaflow-ui,TypeScript
286,metrics-client-go,Go
287,msl,C++
288,ndbench,HTML
289,nerror,JavaScript
290,netflix-commons,Java
291,netflix-graph,Java
292,netflix.github.com,HTML
293,netflixoss-npm-build-infrastructure,
294,nf-data-explorer,TypeScript
295,nflx-geofeed,
296,nflxprofile,Python
297,NfWebCrypto,C++
298,Nicobar,Java
299,ocelli,Java
300,octodns,
301,octodns-ns1,Python
302,octodns-route53,
303,octodns-ultra,Python
304,OpenVPCal,Python
305,osstracker,Scala
306,p2plab,Go
307,photon,Java
308,PigPen,Clojure
309,pollyjs,JavaScript
310,polynote,HTML
311,Prana,Java
312,Priam,Java
313,probnik,TypeScript
314,pygenie,Python
315,pytheas,JavaScript
316,q,Java
317,Raigad,Java
318,ReactiveLab,Java
319,reactivesocket-examples,Java
320,read_bbrlog,C
321,recipes-rss,Java
322,rend,Go
323,rend-http,Go
324,rend-lmdb,Go
325,repokid,Python
326,restful-jsonapi,Ruby
327,ribbon,Java
328,runtime-health,Java
329,rx-aws-java-sdk,Java
330,octodns,
331,octodns-ns1,Python
332,octodns-route53,
333,octodns-ultra,Python
334,OpenVPCal,Python
335,osstracker,Scala
336,p2plab,Go
337,photon,Java
338,PigPen,Clojure
339,pollyjs,JavaScript
340,polynote,HTML
341,Prana,Java
342,Priam,Java
343,probnik,TypeScript
344,pygenie,Python
345,pytheas,JavaScript
346,q,Java
347,Raigad,Java
348,ReactiveLab,Java
349,reactivesocket-examples,Java
350,read_bbrlog,C
351,recipes-rss,Java
352,rend,Go
353,rend-http,Go
354,rend-lmdb,Go
355,repokid,Python
356,restful-jsonapi,Ruby
357,ribbon,Java
358,runtime-health,Java
359,rx-aws-java-sdk,Java
360,s3mper,Java
361,security-bulletins,
362,security_monkey,Python
363,servo,Java
364,sherlock,R
365,signal-wrapper,Go
366,SimianArmy,Java
367,sleepy-puppy-docker,Dockerfile
368,spark,Scala
369,spectator,Java
370,spectator-cpp,C++
371,spectator-go,Go
372,spectator-go-runtime-metrics,Go
373,spectator-js,TypeScript
374,spectator-py,Python
375,spectator-py-runtime-metrics,Python
376,spectator-rb,Ruby
377,staash,Java
378,sureal,Python
379,suro,Java
380,Surus,Java
381,taskintrospection,C
382,tcplog_dumper,C
383,techreports,
384,titus,
385,titus-api-definitions,Makefile
386,titus-control-plane,Java
387,titus-executor,Go
388,titus-kube-common,Go
389,tslint-config-netflix,JavaScript
390,s3mper,Java
391,security-bulletins,
392,security_monkey,Python
393,servo,Java
394,sherlock,R
395,signal-wrapper,Go
396,SimianArmy,Java
397,sleepy-puppy-docker,Dockerfile
398,spark,Scala
399,spectator,Java
400,spectator-cpp,C++
401,spectator-go,Go
402,spectator-go-runtime-metrics,Go
403,spectator-js,TypeScript
404,spectator-py,Python
405,spectator-py-runtime-metrics,Python
406,spectator-rb,Ruby
407,staash,Java
408,sureal,Python
409,suro,Java
410,Surus,Java
411,taskintrospection,C
412,tcplog_dumper,C
413,techreports,
414,titus,
415,titus-api-definitions,Makefile
416,titus-control-plane,Java
417,titus-executor,Go
418,titus-kube-common,Go
419,tslint-config-netflix,JavaScript
420,Turbine,Java
421,unleash,JavaScript
422,user2020-metaflow-tutorial,R
423,vector,JavaScript
424,vectorflow,D
425,videoannotator,Jupyter Notebook
426,virtual-kubelet,Go
427,vizceral,JavaScript
428,vizceral-component,JavaScript
429,vizceral-example,JavaScript
430,vizceral-react,JavaScript
431,vmaf,Python
432,vmaf_resource,
433,vp9-dash,
434,webpack-parse-query,JavaScript
435,weep,Go
436,Workflowable,Ruby
437,x-element,JavaScript
438,x-test,JavaScript
439,yetch,JavaScript
440,zeno,Java
441,zuul,Java
442,Turbine,Java
443,unleash,JavaScript
444,user2020-metaflow-tutorial,R
445,vector,JavaScript
446,vectorflow,D
447,videoannotator,Jupyter Notebook
448,virtual-kubelet,Go
449,vizceral,JavaScript
450,vizceral-component,JavaScript
451,vizceral-example,JavaScript
452,vizceral-react,JavaScript
453,vmaf,Python
454,vmaf_resource,
455,vp9-dash,
456,webpack-parse-query,JavaScript
457,weep,Go
458,Workflowable,Ruby
459,x-element,JavaScript
460,x-test,JavaScript
461,yetch,JavaScript
462,zeno,Java
463,zuul,Java
